Random Seed = 56
77 13 90 79
Reading cmse2.txt
Reading in 50x50 array
Done with Generation 666 with best=1 fitness=278
Done with Generation 667 with best=1 fitness=278
Done with Generation 668 with best=1 fitness=278
Done with Generation 669 with best=1 fitness=278
Done with Generation 670 with best=1 fitness=278
Done with Generation 671 with best=1 fitness=278
Done with Generation 672 with best=1 fitness=278
Done with Generation 673 with best=1 fitness=278
Done with Generation 674 with best=1 fitness=278
Done with Generation 675 with best=1 fitness=278
Done with Generation 676 with best=1 fitness=278
Done with Generation 677 with best=1 fitness=278
Done with Generation 678 with best=1 fitness=278
Done with Generation 679 with best=1 fitness=278
Done with Generation 680 with best=1 fitness=278
Done with Generation 681 with best=1 fitness=278
Done with Generation 682 with best=1 fitness=278
Done with Generation 683 with best=1 fitness=278
Done with Generation 684 with best=1 fitness=278
Done with Generation 685 with best=1 fitness=278
Done with Generation 686 with best=1 fitness=278
